ko,en,ko_len,en_len
"""그것은 기업의 문화를 완전히 바꾸어 버렸습니다.
","""It completely changed the culture of the company.
",28,51
"사기는 아주 말이 아니었습니다.
","Morale was just terrible;
",18,26
"그것이 무엇보다 가장 격노케 하는 것이었습니다.""
","That was the most infuriating part of all.""
",28,44
"누가 해고될 것인지 알려 달라!
","Tell us who's going to lose their jobs!
",18,40
"' 그리고 이것을 아십니까?
","' And do you know something?
",16,29
"우리는 여러해 전에 그렇게 했어야 했습니다.""
","We should have done it years before.""
",26,38
"가장 두드러진 것 중에는
","Among the highlights:
",14,22
"8만2천 달러에 팔린 이 1929년형 팩커드입니다
","this 1929 Packard that went for $82,000.
",28,41
"줄어드는 조짐을 보이고 있습니다
","is showing signs of declining.
",18,31
"클린턴 행정부와 일본 정부는 비틀거려 왔습니다
","The Clinton administration and the Japanese government teetered on the brink of a trade war Sanctions were averted when the two governments struck an eleventh-hour agreement on Japan increasing its purchase of U.S. cars and auto parts.
",26,236
"윌리스는 ""우리에게 위대한 고객이 있는가?""
","``Do we have a great client?’
",25,30
"라고 물으면서 ""그 고객이 누군지 나는 모른다.
","``I don't know who the client is.
",27,34
"건축가들의 반응에 놀라고 있다""고 말했다.
","``I'm *floored by the response of these architects.’
",24,53
"이 회의는 역사적인 시기에 열리고 있습니다.
","This conference takes place at a historic time.
",25,48
"그것은 커다란 변화를 겪게 되는 세상입니다.
","It is a world undergoing profound change.
",25,42
"무엇보다도 사람을 최우선적으로 하는, 즉 모든 시민
","And most of all, the challenge of putting people first, of including all citizens
",29,82
"가족들은 더 많아지고 더 가난해지는 경향이 있습니다.
","Families tend to be larger and poorer.
",30,39
"요리 교육은 값싼 것이 아닙니다
","a culinary education doesn't come cheap.
",18,41
"하지만 그것을 측정한다는 것은 상당히 어려운 것이다.
","Measuring it is devilishly difficult.
",30,38
"불행스럽게도 이 일은 결코 간단하지가 않다.
","Unfortunately, this is far from simple.
",25,40
"실제로 이 방법은 만족스럽지가 못하다.
","In practice this is unsatisfactory.
",22,36
"읽고 쓸 줄 안다는 개념은 주관적인 것이다.
","The definition of literacy is subjective.
",25,42
"미국에서 조차도 이것은 모호한 가정이다.
","Even in the United States this is a dubious assumption.
",23,56
"그것은 바다에 폐기하는 것보다 더 위험할 수 있다고
","that could be more dangerous than disposal at sea.
",29,51
"미국인 반체제 인사 해리 우의 운명
","The fate of American dissident Harry Wu:
",20,41
"카자흐스탄으로부터 중국으로 입국하려다가
","while trying to enter China from Kazakhstan.
",22,45
"그리고 디즈니의 아이스너도 동의한다.
","cried Sumner Redstone of Viacom, and Disney's Eisner agreed.
",21,61
"반대 의견도 마찬가지로 설득력이 있었다;
","The counterargument was equally convincing;
",23,44
"하지만 현실은 그보다 더 복잡한 것이다.
","But reality is more complicated than that.
",23,43
"한 뉴욕 시 주민은 말했습니다
","One New York City resident said it was all about self-respect.
",17,63
"국가를 위해 좋은 일이 될 것이라고
","would be good for the nation.
",20,30
"하지만 우리도 고통을 받았습니다
","but we got pain, too.
",18,22
"""남자들은 스스로에게 20년은 더 있다고 봅니다.""
","""Men see themselves as having 20 more years.""
",29,46
"여자들이 더 책임감이 있습니다.
","They get involved socially;
",18,28
"카드놀이 모임에 가는 거죠.""
","they join a bridge club.""
",17,26
"상상할 수 있는 모든 반응을 예측해 보았다.
","Every reaction imaginable has been predicted.
",25,46
"퀘벡은 캐나다의 일부로 남아있기로 투표로 결정했습니다
","By a razor-thin margin, Quebec has voted to remain a part of Canada.
",30,69
"나는 오히려 그것을 편집증이라고 보고 싶습니다.
","I would regard it as paranoid.
",27,31
"어떠한 제삼자도 그 암호를 풀 수가 없는 것이다.
","A potential third party would not be able to crack the code.
",28,61
"클립퍼 칩에 대한 이야기로 들어 가자.
","Enter the clipper chip.
",22,24
"북한의 무기 개발에 대한 CIA 보고서
","North Korea, one of the three nations in U.S.
",22,46
"어려움을 겪고 있는 멕시코 경제에 대한
","about his country's troubled economy.
",22,38
"무역 적자는 무역 흑자로 돌아섰으며
","a trade deficit has turned to a trade surplus;
",20,47
"실업이 아직은 높은 상태이지만
","sharp inflation is starting just to ebb;
",17,41
"오스카상 13개 부문 후보에 오른 ""반지의 제왕""
","A senior U.S. law enforcement official told CNN the information was viewed as credible because of the specificity of those allegedly involved in a plot.
",28,153
"의회가 업계를 규제하려고 시도할지 모른다고
","that Congress may attempt to regulate the industry.
",24,52
"유럽에서 호황을 누리고 있는 이성 교제 사이트
","The Kyoto agreement, which called for the U.S.
",26,47
"발암 불질이 식수에 들어가지 않게 하도록
","Environmental groups are calling for tougher standards to keep carcinogens out of drinking water.
",23,98
"본드는 또한 절에서 성교를 한다.
","Bond also has sex in a Buddhist temple.
",19,40
"오래전부터 여러 회교도휴일은 국경일로 되어있다.
","Several Islamic holidays have long been national holidays.
",27,59
"크리스마스는 이집트의 18번째 국경일이 되었다.
","Christmas became Egypt's 18th national holiday.
",27,48
"때때로, 그들은 폭력을 직면하기도 한다.
","At times, they face violence.
",23,30
"그러나 핵무기는 좀 다른 문제다.
","But atomic weapons are a different matter.
",19,43
"그들 중에 김지원씨가 있었다.
","Kim Chee-won was among them.
",17,29
"탈북자들은 북한을 세 기둥
","Defectors from North Korea describe the country as an Orwellian place built on three pillars:
",15,94
"이 여자의 손은 환자의 두려움을 진정시키고 있습니다
","this woman's hands calm the patient's fears.
",29,45
"그것은 또한 의사에게 알려줄 수도 있습니다
","it can also tell a doctor so the doctor can stop the surgery.
",24,62
"그러나 그것은 정말이다""라고 말했다.
","But it really is,'' he said.
",21,29
"그리고 관리들을 당혹스럽게 하면서
","with the young and the frightened.
",19,35
"경찰에서조차 수사를 벌이고 있습니다
","Even the police are investigating.
",20,35
"한 소녀가 기절하면 다른 소녀들이 뒤따르는
","the teenagers check out just fine.
",24,35
"그것은 묘석 사업에 깊이 끼어들고 있는 것은 아닙니다
","that's not cutting deep into the headstone business.
",30,53
"고생물학자들은 이번 발견에 비상한 관심을 보였다.
","Paleontologists were intrigued by the discovery.
",28,49
"이전에 날개 넷 달린 공룡은 더더욱 본적이 없다.
","And they have never seen a four-winged dinosaur before.
",28,56
"수씨는 깃털달린 다리가 뒷날개가 되었다고 말했다.
","The feathered legs amount to rear wings, Xu said.
",28,50
"그녀는 곧 진동 신호를 수신하게 되는 것입니다
","she's about to receive vibrations.
",26,35
"그들이 기다리는 동안에 자유롭게 돌아다닐 수가 있기에
","because with a beeper they're free to wander around while they wait.
",30,69
"이곳에서 볼 수 없는 몇 가지가 있습니다
","There are some things you won't see here:
",23,42
"거기에는 디지탈 정보로 내장된 영화들이 들어있습니다
","which contains movies stored as digital information.
",29,53
"이 시스템은 내년 말에 이용 가능하게 됩니다
","The system should be available late next year.
",25,47
"사고원인 규명은 즉각 개시됐다.
","The search for the cause began immediately.
",18,44
"하지만 승무원들은 비교적 경험이 적었다.
","It was a relatively inexperienced crew;
",23,40
"사람들은 소리지르며 파편의 사진을 찍었다.
","People streamed up to take photos of the debris.
",24,49
"이 왕복선은 우주정거장에 설치될 부품을 운송한다:
","The shuttle delivers components of the space station to be installed;
",28,70
"이는 또한 승무원을 정거장과 지구사이를 실어나른다.
","it also carries crews to and from the station.
",29,47
"다음 번이 3월1일로 예정되어있다.
","The next was scheduled for March 1.
",20,36
"수초간 교신은 조용해졌다.
","For several seconds, the transmission goes silent.
",15,51
"일곱 중 여섯이 결혼해 다섯이 어린애가 있다.
","Six of the seven astronauts were married, and five had children.
",26,65
"그것은 그의 누이의 첫 왕복선 비행이었다.
","It was his sister's first shuttle flight.
",24,42
"한국(ROK/ 대한민국)은 남한의 공식명칭이다.
","The ROK, or the Republic of Korea, is South Korea's official name.
",27,67
"미국은 남한에 3만7천명의 미군을 주둔시키고 있다.
","The United States keeps 37,000 soldiers in South Korea.
",29,56
"범죄방지 법안의 반대자들과의
","President Clinton has won the latest round with opponents of the crime bill.
",16,77
"그리고 미국은 그 논쟁의 소용돌이 속에 빠져 있습니다
","and the United States is in the thick of the debate.
",30,53
"그것은 부자와 가난한 자들의 대립도 아닙니다
","It isn't even rich against poor.
",25,33
"650마일 남쪽에 있는 동경에서 까지
","as far away as Tokyo, 650 miles south.
",21,39
"내가 그런 사람이라는 것을요
","I'm that kind of a person.
",16,27
"북한은 제재는 전쟁선언이나 다름없다고 말했다.
","Pyongyang has said (sanctions) would (amount to) a declaration of war.
",26,71
"그는 ''미국은 우리의 최악의 적이다.
","``The Americans are our worst enemy.
",22,37
"캘리포니아가 완전히 회복되기까지는 가야할 길이 멉니다
","California has a long way to go to full recovery;
",30,50
"수로가 오염되고 야생동물이 밀렵되었다.
","Waterways have been polluted and wild animals have been killed.
",22,64
"일부 호수와 강들은 오염돼 질병의 원인이 되고 있다.
","Some lakes and rivers have become polluted, causing disease.
",30,61
"사람도 숲에 위협이 될 수 있다.
","People have also become a danger to the forest.
",19,48
"대부분의 초지는 숲 바로 옆에 있다.
","Most pastureland is next to forests.
",21,37
"이런 지역들을 보살피고 보호해야 한다.
","But ... these regions should be nurtured and protected.
",22,56
"와도씨는 ''언제 그 돈을 받게 될지는 모릅니다.
","``We don't know when we will get that money.
",28,45
"리차드 후이군(9)은 다른 견해를 피력한다:
","Richard Hui, 9, takes another view:
",25,36
"46구의 시체만이 신원이 확실하게 확인되었다.
","Only 46 bodies have been positively identified.
",26,48
"리노의 한 발명가는 말합니다
","A Reno inventor says he can stretch one gallon of gasoline into two.
",16,69
